Year,School,Conference,Public_Private,Undergrads,Revenues,Expenses,Coach_Salary,Infractions,Wins,Losses
2003,Air Force,MW,Public,-1,-1,-1,-1,0,7,5
2004,Air Force,MW,Public,-1,-1,-1,-1,0,5,6
2005,Air Force,MW,Public,-1,-1,-1,-1,0,4,7
2006,Air Force,MW,Public,-1,-1,-1,755370,0,4,8
2007,Air Force,MW,Public,-1,-1,-1,550000,0,9,4
2008,Air Force,MW,Public,-1,-1,-1,-1,0,8,5
2009,Air Force,MW,Public,-1,-1,-1,760000,0,8,5
2010,Air Force,MW,Public,-1,-1,-1,725000,0,9,4
2011,Air Force,MW,Public,-1,-1,-1,866250,0,7,6
2012,Air Force,MW,Public,-1,-1,-1,882000,0,6,7
2013,Air Force,MW,Public,-1,-1,-1,882000,0,2,10
2014,Air Force,MW,Public,-1,-1,-1,866250,0,10,3
2015,Air Force,MW,Public,-1,-1,-1,892500,0,8,6
2016,Air Force,MW,Public,-1,-1,-1,885000,0,10,3
2003,Akron,MAC,Public,14166,688274,3521051,-1,0,7,5
2004,Akron,MAC,Public,12661,868287,3764563,-1,0,6,5
2005,Akron,MAC,Public,12635,740749,4072698,-1,0,7,6
2006,Akron,MAC,Public,11824,1331447,4640002,182500,0,5,7
2007,Akron,MAC,Public,14337,4707537,4707537,188888,0,4,8
2008,Akron,MAC,Public,15035,1577189,4788604,-1,0,5,7
2009,Akron,MAC,Public,16273,5738172,5738172,196292,0,3,9
2010,Akron,MAC,Public,17358,5495951,5495951,375000,0,1,11
2011,Akron,MAC,Public,17397,5918151,5918151,375000,0,1,11
2012,Akron,MAC,Public,16642,6785813,6785813,375000,0,1,11
2013,Akron,MAC,Public,15456,6759147,6759147,400000,0,5,7
2014,Akron,MAC,Public,15078,7155103,7155103,406000,0,5,7
2015,Akron,MAC,Public,14652,7473209,7473209,406000,0,8,5
2016,Akron,MAC,Public,13367,7253770,7253770,411000,0,5,7
2003,Alabama,SEC,Public,14270,39848836,11819450,-1,0,4,9
2004,Alabama,SEC,Public,14855,42979669,14106325,-1,0,6,6
2005,Alabama,SEC,Public,15832,44426312,16705255,-1,1,10,2
2006,Alabama,SEC,Public,17784,53182806,21340593,412000,1,6,7
2007,Alabama,SEC,Public,19238,57370617,16154793,225000,1,7,6
2008,Alabama,SEC,Public,20397,64606392,26443955,-1,0,12,2
2009,Alabama,SEC,Public,21552,71884525,31118134,225000,1,14,0
2010,Alabama,SEC,Public,22587,76801800,31580059,5166666,0,10,3
2011,Alabama,SEC,Public,23592,81993762,36918963,4683333,0,12,1
2012,Alabama,SEC,Public,25109,88660439,41558058,5316667,0,13,1
2013,Alabama,SEC,Public,26247,94990345,41720629,5395852,0,11,2
2014,Alabama,SEC,Public,27331,97023963,51044292,6950203,0,12,2
2015,Alabama,SEC,Public,28447,103870999,56214376,6932395,0,14,1
2016,Alabama,SEC,Public,29071,108117057,62252389,6939395,0,14,1
2014,Appalachian State,Sun Belt,Public,15238,5947165,5947165,225000,0,7,5
2015,Appalachian State,Sun Belt,Public,15267,6630031,6630031,375000,0,11,2
2016,Appalachian State,Sun Belt,Public,15450,7923498,7923498,525000,0,10,3
2003,Arizona,Pac-10,Public,24217,13266117,9916953,-1,0,2,10
2004,Arizona,Pac-10,Public,24595,14631743,8430936,-1,0,3,8
2005,Arizona,Pac-10,Public,24725,15391671,8057844,-1,0,3,8
2006,Arizona,Pac-10,Public,28442,17489510,9161561,415000,0,6,6
2007,Arizona,Pac-10,Public,25078,16732590,8523955,515288,0,5,7
2008,Arizona,Pac-10,Public,25814,20927253,12612710,-1,0,8,5
2009,Arizona,Pac-10,Public,26989,24398253,13685931,500000,0,8,5
2010,Arizona,Pac-10,Public,26853,25448212,17965169,1100000,0,7,6
2011,Arizona,Pac-12,Public,27234,24445690,23643038,1200000,0,4,8
2012,Arizona,Pac-12,Public,28063,28415445,20111388,1500000,0,8,5
2013,Arizona,Pac-12,Public,28289,29259647,28202470,1850000,0,8,5
2014,Arizona,Pac-12,Public,29342,23115960,20422820,2898500,0,10,4
2015,Arizona,Pac-12,Public,29445,41388363,21399664,2878844,0,7,6
2016,Arizona,Pac-12,Public,29049,44177156,21138814,2500000,0,3,9
2003,Arizona State,Pac-10,Public,30935,17669149,11409157,-1,0,5,7
2004,Arizona State,Pac-10,Public,31570,17809736,10438329,-1,0,9,3
2005,Arizona State,Pac-10,Public,32865,24714123,14432662,-1,1,7,5
2006,Arizona State,Pac-10,Public,32722,23519742,18629486,950000,0,7,6
2007,Arizona State,Pac-10,Public,29747,29473997,18426275,450000,0,10,3
2008,Arizona State,Pac-10,Public,43026,29857334,17211218,-1,0,5,7
2009,Arizona State,Pac-10,Public,45490,29587236,17977987,450000,0,4,8
2010,Arizona State,Pac-10,Public,46894,27842879,16564598,1500000,0,6,6
2011,Arizona State,Pac-12,Public,50394,34859343,23994495,1500000,0,6,7
2012,Arizona State,Pac-12,Public,49870,39210883,23509311,3000000,0,8,5
2013,Arizona State,Pac-12,Public,34852,48982647,27124199,2300000,0,10,4
2014,Arizona State,Pac-12,Public,35770,49016140,28083384,2700000,0,10,3
2015,Arizona State,Pac-12,Public,37753,42892151,26601767,3000000,0,6,7
2016,Arizona State,Pac-12,Public,38761,43012682,31371363,3100000,0,5,7
2003,Arkansas,SEC,Public,11037,27337120,12624255,-1,1,9,4
2004,Arkansas,SEC,Public,11302,27783961,11695261,-1,0,5,6
2005,Arkansas,SEC,Public,11743,28466785,13038917,-1,0,4,7
2006,Arkansas,SEC,Public,12488,42056467,22805114,329644,0,10,4
2007,Arkansas,SEC,Public,12488,40135364,18476812,389644,0,8,5
2008,Arkansas,SEC,Public,12967,38630265,18309256,-1,0,5,7
2009,Arkansas,SEC,Public,13534,48524244,22005104,1900000,0,8,5
2010,Arkansas,SEC,Public,14785,61131707,24059193,2700000,0,10,3
2011,Arkansas,SEC,Public,16477,64193826,24325173,3635000,0,11,2
2012,Arkansas,SEC,Public,17687,61492925,29861957,850000,0,4,8
2013,Arkansas,SEC,Public,18455,57057801,28074698,5158863,0,3,9
2014,Arkansas,SEC,Public,19029,66179978,30795322,3200000,0,7,6
2015,Arkansas,SEC,Public,19426,68970599,34237143,3954166,0,8,5
2016,Arkansas,SEC,Public,19774,71197898,37326361,4100000,0,7,6
2003,Arkansas State,Sun Belt,Public,7457,1565937,3045374,-1,0,5,7
2004,Arkansas State,Sun Belt,Public,7263,1727986,2963601,-1,0,3,8
2005,Arkansas State,Sun Belt,Public,7194,1829277,3572695,-1,0,6,6
2006,Arkansas State,Sun Belt,Public,7220,3576338,3576338,140000,0,6,6
2007,Arkansas State,Sun Belt,Public,7532,3710057,3710057,140000,0,5,7
2008,Arkansas State,Sun Belt,Public,7521,3726141,3726141,-1,0,6,6
2009,Arkansas State,Sun Belt,Public,7643,3760642,3760642,140000,0,4,8
2010,Arkansas State,Sun Belt,Public,7681,4007405,4007405,140000,0,4,8
2011,Arkansas State,Sun Belt,Public,7588,4341626,4341626,151660,1,10,3
2012,Arkansas State,Sun Belt,Public,7717,5748516,5748516,856210,0,10,3
2013,Arkansas State,Sun Belt,Public,7557,5936094,5936094,724597,0,8,5
2014,Arkansas State,Sun Belt,Public,7402,6501109,6501109,700000,0,7,6
2015,Arkansas State,Sun Belt,Public,7222,6864360,6864360,700000,0,9,4
2016,Arkansas State,Sun Belt,Public,7248,7159248,7159248,700000,0,8,5
2003,Army,C-USA,Public,-1,-1,-1,-1,0,0,13
2004,Army,C-USA,Public,-1,-1,-1,-1,0,2,9
2005,Army,Independent,Public,-1,-1,-1,-1,0,4,7
2006,Army,Independent,Public,-1,-1,-1,-1,0,3,9
2007,Army,Independent,Public,-1,-1,-1,-1,0,3,9
2008,Army,Independent,Public,-1,-1,-1,-1,0,3,9
2009,Army,Independent,Public,-1,-1,-1,200000,0,5,7
2010,Army,Independent,Public,-1,-1,-1,400000,0,7,6
2011,Army,Independent,Public,-1,-1,-1,610000,0,3,9
